Algorithm, input order, N, time in microseconds, sorted
Merge Sort, random, 10000, 1115, true
Quicksort (Original), random, 10000, 646, true
Quicksort (with median of 3 and insertion sort), random, 10000, 541, true
Introsort (STL hybrid), random, 10000, 966, true
Bubble Sort, random, 100, 19, true
Selection Sort, random, 100, 8, true
Insertion Sort, random, 100, 3, true
Shell Sort, random, 100, 6, true
Heap Sort, random, 100, 7, true
Merge Sort, random, 100, 7, true
Quicksort (Original), random, 100, 4, true
Quicksort (with median of 3 and insertion sort), random, 100, 3, true
Introsort (STL hybrid), random, 100, 7, true
Bubble Sort, random, 1000, 1256, true
Selection Sort, random, 1000, 324, true
Insertion Sort, random, 1000, 209, true
Shell Sort, random, 1000, 93, true
Heap Sort, random, 1000, 93, true
Merge Sort, random, 1000, 89, true
Quicksort (Original), random, 1000, 59, true
Quicksort (with median of 3 and insertion sort), random, 1000, 47, true
Introsort (STL hybrid), random, 1000, 93, true
Bubble Sort, random, 2500, 8286, true
Selection Sort, random, 2500, 1546, true
Insertion Sort, random, 2500, 1310, true
Shell Sort, random, 2500, 237, true
Heap Sort, random, 2500, 223, true
Merge Sort, random, 2500, 221, true
Quicksort (Original), random, 2500, 152, true
Quicksort (with median of 3 and insertion sort), random, 2500, 127, true
Introsort (STL hybrid), random, 2500, 222, true
Bubble Sort, random, 5000, 34305, true
Selection Sort, random, 5000, 5897, true
Insertion Sort, random, 5000, 4925, true
Shell Sort, random, 5000, 507, true
Heap Sort, random, 5000, 442, true
Merge Sort, random, 5000, 491, true
Quicksort (Original), random, 5000, 326, true
Quicksort (with median of 3 and insertion sort), random, 5000, 266, true
Introsort (STL hybrid), random, 5000, 541, true
Bubble Sort, random, 7500, 83253, true
Selection Sort, random, 7500, 13142, true
Insertion Sort, random, 7500, 10970, true
Shell Sort, random, 7500, 829, true
Heap Sort, random, 7500, 691, true
Merge Sort, random, 7500, 722, true
Quicksort (Original), random, 7500, 488, true
Quicksort (with median of 3 and insertion sort), random, 7500, 411, true
Introsort (STL hybrid), random, 7500, 744, true
Bubble Sort, random, 10000, 162549, true
Selection Sort, random, 10000, 26288, true
Insertion Sort, random, 10000, 20511, true
Shell Sort, random, 10000, 1154, true
Heap Sort, random, 10000, 918, true
Merge Sort, random, 10000, 997, true
Quicksort (Original), random, 10000, 663, true
Quicksort (with median of 3 and insertion sort), random, 10000, 551, true
Introsort (STL hybrid), random, 10000, 1037, true
Bubble Sort, random, 100, 19, true
Selection Sort, random, 100, 8, true
Insertion Sort, random, 100, 4, true
Shell Sort, random, 100, 5, true
Heap Sort, random, 100, 7, true
Merge Sort, random, 100, 7, true
Quicksort (Original), random, 100, 4, true
Quicksort (with median of 3 and insertion sort), random, 100, 3, true
